killed_by,killer_placement,killer_position_x,killer_position_y,time,victim_placement,victim_position_x,victim_position_y
Down_and_Out,22,432811,444895,255,4,438283,443290
Down_and_Out,1,438201,275814,693,20,436124,276876
M16A4,10,368034,402854,968,3,366418,399533
Buggy,48,393879,121685,786,48,393879,121685
M416,10,516110,207559,1483,11,517257,209800
P1911,23,399909,353197,143,44,399896,352920
Down_and_Out,4,385419,362574,1438,7,381684,356990
SCAR-L,27,602658,610092,498,15,602506,610451
S1897,16,338686,164104,149,43,340602,164813
Bluezone,24,405712,134979,713,24,405712,134979
AKM,2,173818,529921,1517,8,152124,528831
Punch,3,279955,558801,99,43,280006,558880
Kar98k,15,363168,642367,463,16,367823,644434
SCAR-L,7,491230,325607,1341,17,517865,331126
SCAR-L,2,435793,233676,1716,3,452398,216357
Punch,5,428238,319504,132,21,428184,319434
AKM,5,310599,517446,1486,7,310314,519317
Grenade,17,447615,621012,502,17,447615,621012
Punch,9,144436,589169,247,22,144535,589187
M416,1,397563,289638,694,8,399976,289408
M16A4,24,423609,325530,174,20,423672,326681
SCAR-L,1,595867,294698,743,11,616689,299777
Mini_14,1,342575,168692,379,32,341536,165382
M16A4,1,334454,503927,1730,4,323208,515320
Down_and_Out,1,431101,157206,1276,9,430329,153725
SCAR-L,10,431116,631616,275,42,426489,629573
M16A4,2,446989,371463,917,12,451261,371357
SCAR-L,15,194322,477985,1301,10,194301,478193
Down_and_Out,2,556026,128227,162,46,556426,128418
S686,15,153848,598870,527,17,154111,598652
M16A4,12,366930,421280,333,35,367633,421224
UMP9,13,445562,626924,134,81,445512,626859
P92,18,396241,355313,230,11,396111,355016
UMP9,90,450289,629257,108,91,450786,629109
Hit_by_Car,7,521479,411043,578,54,521388,411128
M16A4,9,484332,299350,1350,2,492615,301566
Punch,24,175012,295536,275,34,174906,295527
Vector,23,665567,43961,311,18,667036,42045
M416,5,433869,193599,382,47,433858,192942
SCAR-L,8,490671,309004,1239,12,489987,306630
Mini_14,35,372672,507267,203,43,364768,507612
Mini_14,1,423722,299573,725,15,0,0
P1911,23,391647,344642,281,27,393380,341910
Down_and_Out,2,269706,419685,1836,5,264821,417305
UMP9,31,617391,599854,144,43,617003,599561
S686,15,402871,411109,1390,17,402870,410896
M416,3,415722,482016,990,16,416278,481315
Kar98k,2,548850,248759,1398,6,515003,259721
SCAR-L,1,634504,376852,424,19,625833,382705
UMP9,15,549743,237299,124,20,550272,237877
Down_and_Out,3,488634,460458,1713,7,511098,474137
M16A4,18,501954,423685,435,15,501618,423761
Down_and_Out,4,161991,282277,625,29,166215,286130
Mini_14,1,546235,255552,1333,10,559797,266911
M16A4,23,289720,568791,297,29,290872,567894
AKM,9,364687,410173,191,28,359397,409837
M16A4,14,196654,303937,684,18,196041,304634
AKM,15,300128,545202,416,9,299485,545179
S1897,18,176652,294769,112,24,176508,295351
Down_and_Out,7,321391,435540,1203,11,327225,451437
Mini_14,4,434063,321550,959,12,431585,315350
UMP9,10,422099,324508,362,65,422304,323979
M16A4,9,422488,324268,117,26,419413,324218
SCAR-L,24,565624,381056,122,45,565859,381118
AKM,16,395130,288976,387,19,390544,287598
S686,46,355352,519595,199,74,355606,519194
M16A4,24,684525,460298,97,27,685964,460205
AKM,3,503423,164239,1058,9,503848,170111
Down_and_Out,4,498234,185823,965,20,498012,185190
M16A4,10,321174,328778,320,59,319157,326719
Tommy_Gun,26,421025,324750,113,13,420900,325240
Punch,23,717408,334235,128,21,717292,334232
S12K,21,444737,627928,339,23,444738,628198
S1897,25,567791,137029,132,45,567363,137819
Down_and_Out,15,363535,391723,203,13,360936,394131
UMP9,22,367718,408652,467,21,369722,410400
AKM,32,107841,452860,300,37,106253,452882
M416,11,696637,342011,491,22,698023,342729
AKM,9,223327,395975,114,18,223358,395823
M416,11,644619,252616,943,40,644678,252973
SKS,2,281449,460800,1212,13,262397,463845
Micro_UZI,12,208812,411768,312,61,208499,411207
Mini_14,1,419398,369669,1509,11,417994,363600
UMP9,13,376339,437066,170,25,377975,446196
Kar98k,6,464020,650133,178,23,464061,671907
Vector,17,372662,397999,174,26,372736,398316
Down_and_Out,2,230289,414739,1764,3,235666,415750
M416,1,247207,400643,1870,3,244687,409438
DP-28,16,589539,289235,578,55,589290,290250
M16A4,14,420804,323251,125,26,421161,323358
Punch,12,437265,276631,92,22,437351,276623
SCAR-L,6,470853,551909,961,9,471043,554288
SCAR-L,13,317743,435959,1650,7,317454,430499
Down_and_Out,3,277014,321643,1910,2,276171,320332
UMP9,67,240097,529335,119,97,0,0
Punch,27,115540,449117,122,97,0,0
S686,8,425607,642676,146,81,426838,642074
M416,7,330265,230244,1351,10,325465,229067
SCAR-L,3,559592,198853,1827,2,562010,202393
M16A4,34,370288,429707,236,37,373296,433230
SCAR-L,1,446960,620410,269,24,446703,620278
M16A4,22,394587,348966,235,25,390895,351044
M416,1,582708,309413,1955,2,581772,311038
Kar98k,31,382810,468135,857,45,389325,475162
S1897,11,605001,483249,171,14,605173,483428
Down_and_Out,19,617794,503645,431,27,617816,503756
AKM,18,444570,329219,134,27,444022,328754
M16A4,7,575099,127725,392,25,574124,130494
Mini_14,11,638185,482740,815,15,623420,491547
M16A4,19,366955,389276,449,18,363728,390294
P92,44,514454,501888,171,55,515794,501877
Mini_14,2,367912,388741,1357,20,378353,399782
Micro_UZI,13,436942,195374,240,58,434556,195092
AKM,5,429760,323012,556,21,430828,323478
M16A4,18,562294,250818,340,19,562549,249509
M16A4,1,296986,448117,724,16,297417,447560
Punch,49,543974,661228,119,89,543895,661214
Uaz,5,333819,547712,796,16,337911,551083
M16A4,26,484128,349409,1567,3,490355,348863
M416,1,412963,651915,1751,2,411317,666924
Down_and_Out,14,438810,640822,248,26,437147,640572
M16A4,31,530483,476387,578,39,530824,475914
S686,22,529761,626398,76,44,528744,626845
Down_and_Out,5,572500,424241,1717,2,572815,423368
SCAR-L,2,713557,444546,1776,3,714609,441041
SCAR-L,9,153516,280699,550,18,155998,283638
M16A4,29,379885,297335,811,29,0,0
M416,14,327221,474509,963,11,325795,476393
Down_and_Out,1,613898,282683,1658,7,612502,285537
Punch,35,393711,125482,121,94,0,0
Micro_UZI,18,692624,461788,577,19,691992,461440
M16A4,15,537591,48527,312,21,534167,42755
S686,65,369571,423828,96,83,369545,424325
SCAR-L,2,570586,458186,1399,13,567896,456687
SCAR-L,23,0,0,206,26,436862,640157
SCAR-L,9,399550,317285,1538,13,403462,314501
Mini_14,4,243313,189212,1664,11,249408,191844
S1897,41,444883,329661,389,60,445426,329508
S12K,27,245247,434711,375,48,245026,436148
AKM,11,333616,554286,858,14,330357,552557
Punch,37,445259,626300,173,23,445288,626387
death.Buff_FireDOT_C,5,362935,674146,1545,7,365536,676299
M16A4,6,435570,420747,1503,8,433809,417675
Mini_14,18,350544,412920,486,20,353753,407815
M16A4,3,176864,433650,1196,13,178694,414556
M416,25,524035,244275,253,73,522481,241931
S1897,5,446956,621151,249,28,446923,621287
M16A4,11,568688,130198,160,22,569985,133148
SKS,2,487195,252351,831,19,489631,252453
Down_and_Out,1,219546,430998,1692,,224209,434300
SCAR-L,33,310318,353672,935,39,308086,356592
Tommy_Gun,5,320394,361863,123,31,321421,362013
SCAR-L,2,720198,331398,434,56,717798,331378
P92,29,534256,237283,118,80,533963,236934
Down_and_Out,8,437669,381502,1344,17,428779,375266
Bluezone,1,0,0,1766,4,621903,460599
SCAR-L,8,217570,566897,1473,4,216152,564499
SCAR-L,7,446932,620434,255,26,446956,620610
Down_and_Out,17,166619,600126,315,19,166475,600224
Hit_by_Car,25,397476,430943,952,25,397476,430943
SKS,2,383774,453784,1285,19,308619,509658
P92,52,443019,338953,103,75,443046,338801
M416,6,431680,451420,1211,3,431913,449651
M16A4,17,638929,488557,829,10,646493,485156
Kar98k,2,312322,515147,1432,8,317313,517304
Down_and_Out,4,442070,701947,1643,6,441477,715934
Down_and_Out,46,373131,416371,132,50,372633,415728
R1895,8,382883,570470,165,74,383074,570551
M16A4,6,449462,445179,761,27,451533,445565
S12K,17,377984,428587,246,19,378481,428838
S1897,5,379669,475419,253,69,380019,475344
S686,10,373904,362021,1336,16,373705,362775
S1897,6,601277,467929,318,23,601541,468611
Down_and_Out,2,525393,177928,1709,4,516106,195702
S1897,69,418775,324249,132,78,419863,324413
SCAR-L,52,357161,159551,439,53,357066,159697
SKS,15,463899,650260,167,42,464004,649517
Kar98k,48,215351,271067,170,49,215236,270947
AKM,1,288432,265747,1365,8,288263,266016
M16A4,1,621494,298167,183,27,623209,303486
M16A4,7,270641,516283,336,,270494,516797
M16A4,4,653210,353566,1052,14,0,0
SCAR-L,17,366760,423217,114,20,366816,423053
M416,46,215662,396859,117,45,215553,396999
M416,24,320086,287926,1083,27,321344,286877
Falling,9,503514,489360,1018,7,482701,528239
SCAR-L,40,419015,325766,90,97,419279,325400
Down_and_Out,11,553508,127536,154,20,553145,129547
AKM,18,373208,429313,339,57,375120,428562
M416,14,357502,519932,286,53,357469,519740
S1897,27,629598,371869,96,22,629353,372081
M416,4,476606,434665,1766,3,475841,433023
M416,11,127468,198983,1388,16,126246,198987
Down_and_Out,26,398748,301912,345,26,398748,301912
Win94,7,268506,518879,882,27,257740,516360
Kar98k,9,531053,545101,1398,7,538673,550473
AKM,20,372488,121624,535,23,371976,121357
Mini_14,5,433407,576755,1502,6,409809,570190
VSS,18,423569,324604,213,73,419653,324565
Down_and_Out,13,352501,387976,886,12,354292,389403
UMP9,1,363021,412552,445,22,362660,412256
Down_and_Out,3,347925,472983,1752,,348039,474070
SKS,25,259505,509384,514,32,263203,512846
Down_and_Out,16,475860,689476,176,34,475894,689406
Down_and_Out,14,376964,352350,1242,19,385379,357397
Down_and_Out,6,556555,330778,1095,17,585608,318815
M16A4,7,380229,707616,844,40,380354,708056
M416,6,618212,293299,982,14,617934,293503
M16A4,17,378823,446169,728,,377692,445966
S1897,26,432572,638595,114,25,432656,638461
S1897,1,338111,168239,89,9,338105,167986
M416,20,329672,395364,372,63,324827,396661
Motorbike_(SideCar),25,278483,391483,970,25,278483,391483
Down_and_Out,24,561928,137155,170,20,558233,133173
M16A4,7,444944,654324,272,25,440847,647650
Micro_UZI,9,243077,342253,1033,5,251703,341497
P92,18,539181,452624,164,16,539828,452620
SCAR-L,7,153648,315662,319,57,152747,318283
SCAR-L,20,680652,352536,470,27,681728,352387
S12K,17,440177,639363,274,36,441006,638185
M416,5,330976,548319,786,17,333539,549042
SCAR-L,16,639922,265423,372,14,639693,265358
M16A4,6,618474,300973,1715,4,618247,300961
M416,6,206787,514313,1666,7,207564,519484
Mini_14,8,484789,150549,1453,10,485399,158558
Down_and_Out,29,223214,391058,467,32,219065,391584
Down_and_Out,19,361767,411247,310,22,358125,409101
M416,4,199472,241245,808,18,199212,241139
S1897,68,421981,327201,103,89,421867,326353
M416,15,368828,420739,284,35,369180,420933
M416,2,404893,309535,1059,17,403032,308414
UMP9,45,355511,410325,376,53,357695,411528
AKM,19,356394,420112,604,24,351096,428423
S12K,24,364433,406294,574,16,364931,406642
M16A4,74,337467,173475,147,79,336215,174273
S686,46,259412,440280,343,61,258500,439694
Down_and_Out,10,402811,288163,368,17,399103,288102
M416,2,470632,640162,1472,7,471321,637188
Kar98k,36,187457,280781,378,39,199413,281632
M16A4,15,515168,353619,1066,17,516307,354349
M416,4,447037,629479,322,22,446859,629218
Mini_14,18,454420,555619,1156,24,457307,575763
M16A4,23,392421,287016,134,28,392373,287311
UMP9,34,436577,637300,155,40,437146,636759
Mini_14,17,607609,369127,495,49,606388,369086
SKS,1,377109,510461,1291,23,391714,524735
Down_and_Out,23,568758,253930,558,30,554514,265349
RedZone,7,304019,500743,810,14,285443,498099
Down_and_Out,2,438866,273500,908,11,432177,259326
M416,9,344031,346562,1315,11,350919,324411
AKM,57,456235,629526,91,90,455238,629666
M416,20,568827,381885,134,19,568391,382695
Down_and_Out,25,564210,385644,111,46,564275,385604
M416,1,579018,415612,1465,7,578442,416078
S686,61,423423,324855,110,89,422445,324825
M416,8,434144,190642,380,29,434470,189693
SCAR-L,1,281809,157696,1949,2,281443,157695
Micro_UZI,5,631702,613669,78,99,631379,614037
M16A4,10,550943,231664,178,22,550988,231914
