藍方勝,守衛放置數,守衛破壞數,首殺,擊殺數,死亡數,助攻數,菁英野怪數,小龍擊殺數,預示者擊殺數,推塔數,總經濟,平均等級,總經驗,總小兵擊殺,總野怪擊殺
0,-4,-7,-1,-11,11,-14,0,0,0,-2,-10830,-2.6,-9333,-101,-72
0,-2,0,-1,-17,17,-16,-1,-1,0,-1,-10329,-2.4,-8531,-80,-43
0,0,-1,-1,-6,6,-9,-1,0,-1,-2,-9341,-1.6,-6317,-87,-48
0,-12,-1,-1,-13,13,-10,0,0,0,-1,-9152,-2,-8290,-117,-38
0,-3,3,-1,-11,11,-13,-1,-1,0,-1,-8472,-2.2,-8242,-37,-60
0,-44,-3,-1,-12,12,-9,0,0,0,-1,-8461,-1.8,-7340,-87,-8
0,-1,-3,-1,-10,10,-11,-2,-1,-1,-1,-7952,-1.2,-5684,-90,11
0,-1,-1,-1,-10,10,-13,-1,-1,0,-2,-7911,-0.8,-3435,-56,7
0,3,-2,-1,-15,15,-15,1,1,0,-1,-7868,-1.4,-5339,-44,-8
0,-1,0,-1,-14,14,-19,-2,-1,-1,-1,-7866,-1.2,-5377,-36,0
0,2,-5,-1,-8,8,-11,-2,-1,-1,-2,-7839,-1,-3333,-83,4
0,-3,3,-1,-12,12,-12,-1,0,-1,-1,-7666,-1,-5484,-48,-52
0,53,-4,-1,-13,13,-17,1,1,0,-1,-7655,-1.2,-4485,-60,24
0,-5,-3,-1,-13,13,-14,0,0,0,0,-7527,-1.2,-4309,-68,-2
0,-1,-2,-1,-10,10,-11,0,-1,1,-1,-7480,-1.4,-4460,-30,-12
0,-1,-4,-1,-10,10,-11,-1,-1,0,0,-7314,-1.6,-6034,-81,-20
0,-3,0,-1,-8,8,-15,-1,-1,0,-1,-7285,-1.2,-4379,-62,-12
0,-2,1,-1,-17,17,-8,0,0,0,0,-7278,-1.6,-6021,-91,16
0,-2,-1,1,-10,10,-11,-1,-1,0,0,-7218,-1.4,-5853,-76,-25
0,-7,1,1,-10,10,-5,-1,-1,0,0,-7206,-1.4,-6046,-111,-22
0,-3,0,-1,-9,9,-10,0,0,0,-1,-7089,-0.6,-2815,-41,5
0,28,-2,-1,-13,13,-20,-1,-1,0,0,-7079,-1.4,-4936,-35,-35
0,-40,2,-1,-13,13,-14,0,0,0,0,-7070,-1.4,-4989,-16,-19
0,-7,0,-1,-9,9,-8,-1,-1,0,-1,-6973,-1,-3705,-104,-11
0,3,-2,-1,-8,8,-6,0,1,-1,-1,-6972,-1,-3956,-59,9
0,-11,0,-1,-10,10,-10,-1,0,-1,-1,-6966,-1.2,-4723,-68,2
0,-2,-3,1,-12,12,-15,-2,-1,-1,0,-6954,-1.6,-5631,-43,-12
0,2,0,-1,-7,7,-11,-2,-1,-1,-1,-6892,-1.2,-5371,-32,-32
0,-24,2,-1,-13,13,-14,0,-1,1,0,-6887,-1.2,-5573,-90,2
